track_name,peak_rank,weeks_on_chart,danceability,energy,loudness,speechiness,instrumentalness,tempo
Shape of You,1,269,0.825,0.652,-3.183,0.0802,0,95.977
Believer,16,268,0.776,0.78,-4.374,0.128,0,124.949
Say You Won't Let Go,7,268,0.358,0.557,-7.398,0.059,0,85.043
Perfect,4,262,0.599,0.448,-6.312,0.0232,0,95.05
goosebumps,13,226,0.841,0.728,-3.37,0.0484,0,130.049
Jocelyn Flores,7,216,0.872,0.391,-9.144,0.242,4.13E-06,134.021
lovely (with Khalid),24,205,0.351,0.296,-10.109,0.0333,0,115.284
Lucid Dreams,3,194,0.511,0.566,-7.23,0.2,0,83.903
Bohemian Rhapsody - Remastered 2011,11,182,0.414,0.404,-9.928,0.0499,0,71.105
Closer,2,179,0.748,0.524,-5.599,0.0338,0,95.01
Sunflower - Spider-Man: Into the Spider-Verse,1,179,0.755,0.522,-4.368,0.0575,0,89.96
Something Just Like This,2,172,0.617,0.635,-6.769,0.0317,1.44E-05,103.019
Shallow,3,171,0.572,0.385,-6.362,0.0308,0,95.799
Someone You Loved,4,168,0.501,0.405,-5.679,0.0319,0,109.891
Photograph,41,154,0.614,0.379,-10.48,0.0476,0.000464,107.989
All of Me,110,145,0.422,0.264,-7.064,0.0322,0,119.93
Dance Monkey,1,140,0.824,0.587,-6.401,0.0937,0.000105,98.029
Se??orita,1,138,0.759,0.548,-6.049,0.029,0,116.967
Circles,1,134,0.695,0.762,-3.497,0.0395,0.00244,120.042
Don't Start Now,2,125,0.793,0.793,-4.521,0.083,0,123.95
Watermelon Sugar,4,123,0.548,0.816,-4.209,0.0465,0,95.39
Before You Go,19,122,0.459,0.575,-4.858,0.0573,0,111.881
Blinding Lights,1,121,0.514,0.73,-5.934,0.0598,9.54E-05,171.005
One Dance,12,120,0.792,0.625,-5.609,0.0536,0.0018,103.967
Memories,2,116,0.775,0.327,-7.241,0.0557,0,91.05
Adore You,6,104,0.676,0.771,-3.675,0.0483,7.00E-06,99.048
Starboy,1,97,0.679,0.587,-7.015,0.276,6.35E-06,186.003
HUMBLE.,1,96,0.908,0.621,-6.638,0.102,5.39E-05,150.011
Mr. Brightside,98,87,0.352,0.911,-5.23,0.0747,0,148.033
Heather,12,87,0.357,0.425,-7.301,0.0333,0,102.078
Mood (feat. iann dior),1,85,0.701,0.716,-3.671,0.0361,0,91.007
One Kiss (with Dua Lipa),2,83,0.791,0.862,-3.24,0.11,2.19E-05,123.994
Dynamite,2,83,0.746,0.765,-4.41,0.0993,0,114.044
Sweater Weather,29,82,0.612,0.807,-2.81,0.0336,0.0177,124.053
Falling,29,81,0.567,0.267,-6.502,0.0299,1.46E-06,110.011
you broke me first,13,78,0.667,0.373,-9.389,0.05,0,124.148
Levitating (feat. DaBaby),4,77,0.702,0.825,-3.787,0.0601,0,102.977
Godzilla (feat. Juice WRLD),4,76,0.808,0.745,-5.26,0.342,0,165.995
Daddy Issues,99,76,0.588,0.521,-9.461,0.0329,0.149,85.012
Take Me To Church,108,75,0.566,0.664,-5.303,0.0464,0,128.945
positions,1,74,0.737,0.802,-4.771,0.0878,0,144.015
D??KITI,1,73,0.731,0.573,-10.059,0.0544,5.22E-05,109.928
There's Nothing Holdin' Me Back,5,72,0.866,0.813,-4.063,0.0554,0,121.998
Wake Me Up,13,68,0.532,0.783,-5.697,0.0523,0.0012,124.08
Save Your Tears,2,68,0.68,0.826,-5.487,0.0309,1.24E-05,118.051
Callaita,7,67,0.608,0.626,-4.773,0.301,2.16E-06,176.086
Yellow,101,66,0.429,0.661,-7.227,0.0281,0.000121,173.372
